Course,Skills
Python for Beginners,python programming basics
Machine Learning Bootcamp,machine learning python data science
Deep Learning with TensorFlow,deep learning tensorflow neural networks
Web Development,html css javascript frontend
Data Science,data analysis pandas numpy python
Cloud Computing,AWS cloud devops
SQL Masterclass,sql database mysql
Artificial Intelligence,ai machine learning deep learning
Cyber Security,network security ethical hacking
Computer Vision,opencv image processing python
Natural Language Processing,nlp python machine learning
